utc_ts,market,borrow_usd,collateral_usd,book_ltv,liq_10,liq_20,liq_30,capacity_ab_usd,distance_to_capacity
2026-09-20T01:14:27+00:00,cbADA,2026787,6787306,0.2986,41337,75609,249514,194494,0.26
2026-09-20T01:14:27+00:00,cbLTC,770224,2327475,0.3309,129,127024,285705,245144,0.26
2026-09-20T01:14:27+00:00,JitoSOL,2238921,7235371,0.3094,14305,140867,426243,1438444,0.51
2026-09-20T06:23:16+00:00,cbBTC,1428549558,3038722953,0.4701,13802782,80462669,249352343,9154705,0.1
2026-09-20T06:23:16+00:00,WETH,85076595,198760423,0.428,3439544,9592743,17812582,16853503,0.29
2026-09-20T06:23:16+00:00,cbETH,11742229,31054794,0.3781,49746,1633612,2626685,2004510,0.26
2026-09-20T06:23:16+00:00,cbXRP,48813575,139831245,0.3491,1166135,6270422,13888062,1193246,0.11
2026-09-20T06:23:16+00:00,SOL,5475855,16815044,0.3257,200988,856405,1509631,1095094,0.24
2026-09-20T06:23:16+00:00,cbDOGE,2309152,6599866,0.3499,67189,237959,631451,234509,0.2
2026-09-20T06:23:16+00:00,cbADA,2025880,6564937,0.3086,19934,145230,334252,203809,0.23
2026-09-20T06:23:16+00:00,cbLTC,774274,2300046,0.3366,566,200806,289255,245435,0.24
2026-09-20T06:23:16+00:00,JitoSOL,2241578,7101962,0.3156,24791,152144,433288,1095094,0.45
2026-09-20T12:27:30+00:00,cbBTC,1428665932,3038316477,0.4702,13809764,80904767,249868061,9361542,0.1
2026-09-20T12:27:30+00:00,WETH,85085906,199139650,0.4273,3436263,8963906,17124752,16764062,0.3
2026-09-20T12:27:30+00:00,cbETH,11742950,31070137,0.3779,50122,1634210,2627720,1949483,0.25
2026-09-20T12:27:30+00:00,cbXRP,48837962,139610770,0.3498,1176868,6289445,14238985,1535709,0.11
2026-09-20T12:27:30+00:00,SOL,5481182,16797776,0.3263,196600,828112,1512827,982040,0.23
2026-09-20T12:27:30+00:00,cbDOGE,2309180,6565896,0.3517,72567,277742,650142,274403,0.2
